BodyName,Ad,Ag,Al,Ar,Au,Be,C6Hn,Cl,Co,Cs,Cu,Dy,Eu,F,Fe,H2O,He-3,Hg,HnCn,Ie,IL,Ir,Li,Nd,Ne,Ni,Pb,Pd,Pt,Pu,R-COC,Rc,Sb,SiH3Cl,Ta,Ti,Tsn,U,V,Vr,Vy,W,Xe,xF4,Yb
Shoza VIII-c,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoza VIII-d,,,,,,,,X,X,,,,,,,X,,,,,,X,,,,X,X,X,,,,,,,,,,X,,,,,,,
Shoza IX,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Beta Ternion I,,,,,,,,X,,,X,,,,X,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Beta Ternion I-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Ternion II,,,,X,,,,,X,,,,,,X,X,,,,,,,,,,X,,X,X,,,,,,,,,X,,,,,,,
Beta Ternion III,,,,X,,,X,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Beta Ternion III-a,,,X,,,,,X,,,,,,,,X,X,,,,,,X,,,X,,,X,,,,,X,,,,,,,,,,,
Freya I,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya II,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,,,,,
Freya III,,X,,X,,,X,X,,,X,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Freya IV,,,X,,,,,,X,,,,X,,,X,X,,,,,X,,,,X,,,,,,,,,,,,X,,,,,,,
Freya IV-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya IV-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya IV-c,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya V,,,,,,,,X,X,,,,,,X,X,X,,,,,,,,,X,X,,,,,,,X,,,,,,,,,,,
Freya VI,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya VII-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,X,X,,,,,,,,,X,,,,,,X,,X,
Freya VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya VIII-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Freya IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freya IX-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,
Freya IX-b,,,,,,,,,X,,X,,,,,X,,,,,,,,,,X,X,,X,,,,,,,,,X,,,,,,,
Freya IX-c,,,X,,,X,,X,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla I,,,,,,,,,,,,,,,X,X,,X,X,,,X,,,,,X,,,,,,,,,,,X,,,,,,,
Hyla I-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Hyla II,,X,X,X,,X,,,,,,,,X,,X,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,
Hyla II-a,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla II-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla III,,,X,,,X,,,,,,,,,,X,X,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,,
Hyla IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla IV-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,
Hyla IV-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla V,,X,X,,,,,,,,,,,,,X,X,X,,,,,,X,,,X,,,,,,,,,,,,,,,,,,
Hyla V-a,,,,X,,,,X,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,X,,,X,X,,,,,,
Hyla VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla VI-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla VI-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla VII-a,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,X,,,,,,,,,X,,,,,,X,,,
Hyla VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyla VIII-a,,,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,
Hyla VIII-b,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Hyla VIII-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Hyla VIII-d,,,,,,,,X,,,X,,,X,,X,,,,,,X,,,,X,,,,X,,,,,,,,X,,,,,,,
Hyla VIII-e,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Ixyll I,,,,,,,,,X,,,,,,X,,,,X,,,X,,,,X,X,,,,,,,,,,,X,,,,,,,
Ixyll II,,,,,X,,,X,,,X,,,,X,X,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,
Ixyll II-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll III,,,,,,,,X,,,X,,,,X,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Ixyll III-a,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll III-b,,,X,X,,X,X,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Ixyll IV,,,,X,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,X,,,,,,,X,,,,,,,
Ixyll V,,X,,,,,,X,,,X,,,X,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,
Ixyll VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll VI-a,,,,,,,,,,,X,,,X,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll VI-b,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll VI-c,,,X,,,,,,,,,,X,,X,X,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,
Ixyll VI-d,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Ixyll VI-e,,,,,,,,X,X,,,,,,,X,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,
Ixyll VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll VII-a,,,X,,,X,,,,,X,,,X,,X,X,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,
Ixyll VII-b,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Ixyll VII-c,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll VIII-a,,,X,,,X,,,,,,,,,,,X,,,,,X,,,,,,,,X,,,,,,,,X,,,,,,,
Ixyll VIII-b,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll IX-a,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll IX-b,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Ixyll IX-c,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixyll IX-d,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Khayyam I,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam I-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam II,,,,X,,,,X,,,,,,,,X,,,,,,X,,,,,,,,X,,,,X,,,,X,,,,,X,,
Khayyam II-a,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam III,,,,,X,,,X,,,X,,,,X,X,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,
Khayyam III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam III-b,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
Khayyam III-c,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam IV,,,,,,,,,,,X,,,,X,X,,,X,,,,,,,,X,,,,,,,,X,X,,,,,,X,,,
Khayyam IV-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam V-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Khayyam VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam VI-a,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Khayyam VI-b,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Khayyam VI-c,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam VI-d,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khayyam VI-e,,,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,
Moloch I,,,,,,,,X,X,,,,,,,X,,X,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,
Moloch I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloch II,,,X,X,,,X,X,,,,,,,X,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,
Moloch III,,,,X,,,,,,,X,,,X,,X,,,,,,,,,,,X,,,,X,,X,,,,,,,,,,,,
Moloch IV,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloch V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloch V-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloch V-b,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloch V-c,,X,,X,,,X,,,,,,,,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Moloch V-d,,,X,,,,,,,,X,,,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Moloch VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloch VI-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloch VI-b,,,X,,,,,,X,,,,,,,X,X,,,,,X,,X,,X,,,,,,,,,,,,X,,,,,,,
Moloch VII,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola I,,,X,X,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,X,,,,X,,,,,,,,,,
Nikola II,,,,X,,,,,,,,,,,,X,,,,,,,,,,X,X,,,X,,,,,,,,X,,,,X,,,
Nikola II-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola III,,,,,,,,,X,,X,,,,X,X,,,X,,,,,,,X,,,,,,,,,X,,,X,,,,,,,
Nikola III-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola III-b,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola IV,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Nikola IV-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola V,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Nikola VI,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola VI-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola VI-b,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Nikola VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola VII-a,,,,X,,,,,X,,,,,X,,X,,,,,,X,,,,X,,,X,,,,,,,,,X,,,,,,,
Nikola VIII,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola VIII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola IX,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola X-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirvana I,,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,X,,,,,,
Nirvana II,,,,,,,,,,,X,,,X,X,X,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,X,
Nirvana II-a,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirvana III,,,,,,,,X,,,,,,,,X,,,,,,X,,,,X,,,,,,,,X,,,,X,X,,,,,,
Nirvana III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirvana IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nirvana IV-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasalhague I,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,X
Rasalhague I-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasalhague II,,,,,,,,X,X,X,X,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Rasalhague III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasalhague III-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasalhague III-b,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasalhague IV,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Marae I,,X,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,
Alpha Marae II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Marae II-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Alpha Marae III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Marae III-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Alpha Marae III-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Marae III-c,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Marae III-d,,,,X,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,,,,,,,,,,,X,,,,,,,
Alpha Marae IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Marae IV-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Marae IV-b,,,X,,,X,,X,X,,,,,,X,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,
Alpha Marae V,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara I,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara II,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,
Bara II-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara III,,,,X,,,,X,,,,,,,X,X,,,X,,,,,,,,,,,,X,,,X,,,,,,,,,,,
Bara III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara IV,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Bara V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara V-a,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,
Bara VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara VI-a,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Bara VI-b,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara VI-c,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara VII-a,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara VII-b,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bara VII-c,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Bara VII-d,,,X,,,,,X,,,X,,,,X,X,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,
Beta Marae I,,,,X,,,,X,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,
Beta Marae I-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae II,,,,,,,,,X,,X,,,X,,X,,,,,,,,,,X,X,X,,,,,,,,,,,,,,X,,,
Beta Marae II-a,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Beta Marae II-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae III,,,,,,,,X,,,X,,,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,
Beta Marae III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae IV-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
Beta Marae IV-b,,,,,,,,,X,,,,,,,X,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,,,
Beta Marae IV-c,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae IV-d,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae V-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae V-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Beta Marae V-c,,,,X,,,,,,,,,,,X,X,,,X,,,,,,,X,,,,X,,,,,,,,X,X,,,,,,
Beta Marae V-d,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae VI-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Marae VI-b,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Beta Marae VI-c,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linnaeus I,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,
Linnaeus II,,X,,X,,,X,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Linnaeus II-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Linnaeus III,,,,,,,,X,,,X,,,X,,X,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,X,
Linnaeus III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linnaeus IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linnaeus IV-a,,,,,,,,,X,,,,,,,X,,,,,,X,,,,X,X,,X,,,,,,,,,X,,,,,,,
Linnaeus IV-b,,,X,,,X,,,,,,,,,X,X,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X
Linnaeus IV-c,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Linnaeus V,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linnaeus VI,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Linnaeus VII,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Ophion I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophion I-a,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford I,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford I-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford I-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford II,,,,,,,,X,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,
Rutherford II-a,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Rutherford III,,,,X,,,,X,,,,,,,,X,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,
Rutherford III-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford IV-a,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Rutherford IV-b,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Rutherford IV-c,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford IV-d,,,X,X,,,X,,,,,,,,,X,X,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,
Rutherford IV-e,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,
Rutherford V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford V-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,
Rutherford V-b,,,,,,,,X,,,,,,,X,X,X,X,,,,,,,,,X,,,,,,,X,,,,X,,,,,,,
Rutherford VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford VI-a,,,X,,,X,,X,,X,,,,,,X,X,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,
Rutherford VI-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Rutherford VI-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford VI-d,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Tidacha I,,,X,X,,,X,X,,,,,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,
Tidacha I-a,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Tidacha I-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Tidacha I-c,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X
Alchiba I,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Alchiba II,,X,,,,,,,,,,,,,X,,,,X,,,X,,,,,X,,,,,,,,,,,X,,,,,,,
Alchiba II-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba III-a,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,
Alchiba III-b,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba III-c,,,X,,,X,,,X,,,,,,,X,X,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,,
Alchiba IV,,,,,,,,,,,X,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,X,X,,,,,X,
Alchiba IV-a,,,,X,,,,,X,,X,,,X,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
Alchiba V,,,,X,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,
Alchiba V-a,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
Alchiba VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba VI-a,,,,,X,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchiba VI-b,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Alchiba VI-c,,,,,,,,,,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
